Function Name,Description,Category
showSuccessStamp,"Shows success stamp with ding sound for correct answers",Feedback & Stamps
showFailureStamp,"Shows failure stamp with buzz sound for wrong answers",Feedback & Stamps
createButtonTooltip,"Creates and attaches tooltip to button with HTML content",UI Tooltips
normalizeString,"Normalizes string for comparison (lowercase, removes extra spaces, removes punctuation)",Utility Functions
generateWrongAnswers,"Generates wrong answer options for multiple choice (avoids duplicates)",Wrong Answer Generation
generateWrongAnswersWithPinyin,"Generates wrong answers for Chinese mode (includes pinyin with each option)",Wrong Answer Generation
getAudioContext,"Returns singleton AudioContext instance for playing sounds",Audio & Sound Effects
playTypingSound,"Plays typing click sound (scribble sound)",Audio & Sound Effects
setTTSSpeed,"Sets TTS speed and updates speed button UI states",Text-to-Speech (TTS)
autoSelectFirstActAndPack,"Auto-selects first available act and pack on initial load",UI Initialization
simulateCorrectAnswer,"Debug function: Simulates correct answer (removes card from deck)",Simulation & Testing
simulateWrongAnswer,"Debug function: Simulates wrong answer (adds duplicate cards to deck)",Simulation & Testing
simulateNearVictory,"Debug function: Simulates near-victory state (only 3 cards left in deck)",Simulation & Testing
