chinese,pinyin,english,spanish,french,portuguese,vietnamese,thai,khmer,indonesian,malay,filipino
时常来,shí cháng lái,Come from time to time,Ven de vez en cuando,Venez de temps en temps,Venha de vez em quando,Thỉnh thoảng hãy đến,แวะมาเป็นระยะ,ដំណោះស្រាយរយៈពេលវែង,Datanglah dari waktu ke waktu,Datang dari semasa ke semasa,Dumating sa pana -panahon
长久之计,cháng jiǔ zhī jì,Long-term solution,Solución a largo plazo,Solution à long terme,Solução a longo prazo,Giải pháp lâu dài,วิธีแก้ปัญหาระยะยาว,មិនមានរយៈពេលយូរ,Solusi jangka panjang,Penyelesaian Jangka Panjang,Pangmatagalang Solusyon
不能长久,bù néng cháng jiǔ,Not long-term,No a largo plazo,Pas à long terme,Não é a longo prazo,Không lâu dài,ไม่ใช่ระยะยาว,បានរស់នៅខ្លី,Bukan jangka panjang,Tidak jangka panjang,Hindi pangmatagalang
短暂的,duǎn zàn de,Short-lived,De corta duración,De courte durée,De curta duração,Ngắn ngủi,อายุสั้น,ខ្លីណាស់ដែលបានរស់នៅ,Berumur pendek,Jangka pendek,Maikling buhay
很短暂,hěn duǎn zàn,Very short-lived,Muy de corta duración,Très éphémère,Vida muito curta,Rất ngắn ngủi,อายุสั้นมาก,អចិន្រ្តៃយ៍,Sangat berumur pendek,Sangat pendek,Napaka maikli ang buhay
永久的,yǒng jiǔ de,Permanent,Permanente,Permanente,Permanente,Thường trực,ถาวร,វាជាអចិន្រ្តៃយ៍,Permanen,Kekal,Permanenteng
是永久,shì yǒng jiǔ,It's permanent,Es permanente,C'est permanent,É permanente,Nó là vĩnh viễn,มันถาวร,ការលើកទឹកចិត្ត,Itu permanen,Ia kekal,Permanente ito
一时冲动,yī shí chōng dòng,Impulse,Impulso,Impulsion,Impulso,Xung lực,แรงกระตุ้น,នៅលើមួយ whim,Impuls,Impulse,Impulse
一时兴起,yī shí xīng qǐ,On a whim,Por capricho,Sur un coup de tête,Por capricho,Bất chợt,ด้วยความตั้งใจ,រវល់ពេញមួយថ្ងៃ,Tiba-tiba,Pada kehendak,Sa isang kapritso
整天忙,zhěng tiān máng,Busy all day,Ocupado todo el día,Occupé toute la journée,Ocupado o dia todo,Bận rộn cả ngày,ยุ่งทั้งวัน,រវល់ពេញមួយថ្ងៃ,Sibuk sepanjang hari,Sibuk sepanjang hari,Abala sa buong araw
忙整天,máng zhěng tiān,Busy all day,Ocupado todo el día,Occupé toute la journée,Ocupado o dia todo,Bận rộn cả ngày,ยุ่งทั้งวัน,ធ្វើការពេញមួយយប់,Sibuk sepanjang hari,Sibuk sepanjang hari,Abala sa buong araw
整夜工作,zhěng yè gōng zuò,Working all night,Trabajando toda la noche,Travailler toute la nuit,Trabalhando a noite toda,Làm việc suốt đêm,ทำงานทั้งคืน,រវល់ពេញមួយយប់,Bekerja sepanjang malam,Bekerja sepanjang malam,Paggawa buong gabi
忙了整夜,máng le zhěng yè,Busy all night,Ocupado toda la noche,Occupé toute la nuit,Ocupado a noite toda,Bận rộn suốt đêm,คึกคักทั้งคืน,ធ្វើការពេញមួយយប់,Sibuk sepanjang malam,Sibuk sepanjang malam,Abala buong gabi
通宵工作,tōng xiāo gōng zuò,Working all night,Trabajando toda la noche,Travailler toute la nuit,Trabalhando a noite toda,Làm việc suốt đêm,ทำงานทั้งคืน,ស្នាក់នៅពេញមួយយប់,Bekerja sepanjang malam,Bekerja sepanjang malam,Paggawa buong gabi
熬了通宵,áo le tōng xiāo,Stayed up all night,Me quedé despierto toda la noche,Je suis resté éveillé toute la nuit,Fiquei acordado a noite toda,Thức cả đêm,อยู่ทั้งคืน,រយៈពេលខ្លី,Begadang sepanjang malam,Tinggal sepanjang malam,Nanatili sa buong gabi
