chinese,pinyin,english,spanish,french,portuguese,vietnamese,thai,khmer,indonesian,malay,filipino
想要买,xiǎng yào mǎi,Want to buy,Quiero comprar,Vous voulez acheter,Quer comprar,Muốn mua,ต้องการซื้อ,សង្ឃឹមថាអ្នក,Ingin membeli,Mahu membeli,Nais bumili
很想要,hěn xiǎng yào,Want it very much,Lo quiero mucho,Je le veux vraiment,Quero muito,Muốn lắm,อยากได้มากเลย,ការរង់ចាំក្តីសង្ឃឹម,Sangat menginginkannya,Mahukannya,Gusto mo ito ng sobra
希望你,xī wàng nǐ,Hope you,Espero que,J'espère que vous,Espero que você,Hy vọng bạn,หวังว่าคุณ,បំណងប្រាថ្នាគឺ,Semoga kamu,Semoga anda,Sana ikaw
抱希望,bào xī wàng,Holding hope,Manteniendo la esperanza,Garder espoir,Mantendo a esperança,Giữ hy vọng,หวังไว้,ធ្វើឱ្យមានបំណងប្រាថ្នា,Memegang harapan,Memegang Harapan,May hawak na pag -asa
愿望是,yuàn wàng shì,The wish is,El deseo es,Le souhait est,O desejo é,Điều ước là,ความปรารถนาคือ,ទន្ទឹងរងចាំ,Keinginannya adalah,Hasrat adalah,Ang nais ay
许愿望,xǔ yuàn wàng,Making a wish,Pidiendo un deseo,Faire un vœu,Fazendo um desejo,Thực hiện một điều ước,ขอพร,ទន្ទឹងរងចាំ,Membuat permintaan,Membuat hasrat,Paggawa ng isang nais
盼望着,pàn wàng zhe,Looking forward to,Esperamos con ansias,Dans l'attente de,Ansiosa por,Rất mong chờ,รอคอย,ទន្ទឹងរងចាំអ្នក,Menantikan,Nantikan,Inaasahan ang
在盼望,zài pàn wàng,Looking forward to,Esperamos con ansias,Dans l'attente de,Ansiosa por,Rất mong chờ,รอคอย,ទន្ទឹងរងចាំ,Menantikan,Nantikan,Inaasahan ang
期待你,qī dài nǐ,Looking forward to you,Te espero con ansias,Dans l'attente de vous,Aguardo você,Rất mong chờ bạn,รอติดตามนะคะ,បំណងប្រាថ្នាទទួលបានជោគជ័យ,Menantikan Anda,Nantikan anda,Inaasahan sa iyo
很期待,hěn qī dài,Looking forward to,Esperamos con ansias,Dans l'attente de,Ansiosa por,Rất mong chờ,รอคอย,អង្វរណាស់,Menantikan,Nantikan,Inaasahan ang
渴望成功,kě wàng chéng gōng,Desire for success,Deseo de éxito,Désir de réussite,Desejo de sucesso,Khát vọng thành công,ความปรารถนาที่จะประสบความสำเร็จ,តម្រូវការខ្ពស់ ត្រូវតែទៅ,Keinginan untuk sukses,Keinginan untuk Kejayaan,Pagnanais para sa tagumpay
很渴望,hěn kě wàng,Very eager,Con muchas ganas,Très impatient,Muito ansioso,Rất háo hức,ลุ้นมาก,ត្រូវតែទៅ,Sangat bersemangat,Sangat bersemangat,Napaka sabik
要求高,yāo qiú gāo,High requirements,Altos requisitos,Exigences élevées,Requisitos elevados,Yêu cầu cao,ข้อกำหนดสูง,តម្រូវការខ្ពស់,Persyaratan tinggi,Keperluan Tinggi,Mataas na kinakailangan
有要求,yǒu yāo qiú,Must go,Debes ir,Il faut y aller,Preciso ir,Phải đi,ต้องไป,តម្រូវការជំនួយបន្ទាន់,Harus pergi,Mesti pergi,Dapat pumunta
不必了,bù bì le,No need,No es necesario,Pas nécessaire,Não precisa,Không cần,ไม่จำเป็น,មិនចាំបាច់,Tidak perlu,Tidak perlu,Hindi na kailangan
真不必,zhēn bù bì,Really no need,Realmente no es necesario,Vraiment pas nécessaire,Realmente não precisa,Thực sự không cần,ไม่จำเป็นจริงๆ,ពិតជាមិនចាំបាច់,Sungguh tidak perlu,Benar-benar tidak perlu,Talagang hindi kailangan
不用谢,bù yòng xiè,You're welcome,De nada,De rien,De nada,Không có gì,ไม่เป็นไร,មិនអីទេ,Sama-sama,Sama-sama,Walang anuman
不用担心,bù yòng dān xīn,Don't worry,No te preocupes,Ne t'inquiète pas,Não se preocupe,Đừng lo lắng,ไม่ต้องห่วง,កុំបារម្ភ,Jangan khawatir,Jangan risau,Huwag mag-alala
急需人,jí xū rén,Urgently need staff,Necesita personal urgente,Besoin urgent de personnel,Precisa urgentemente de pessoal,Cần người gấp,ต้องการคนด่วน,ត្រូវការមនុស្សបន្ទាន់,Sangat butuh orang,Sangat perlukan orang,Kagyat na kailangan ng tao
很急需,hěn jí xū,Very urgently needed,Muy urgente,Très urgent,Muito urgente,Rất cần gấp,ต้องการอย่างเร่งด่วน,ត្រូវការបន្ទាន់ខ្លាំង,Sangat dibutuhkan segera,Sangat diperlukan segera,Lubhang kagyat na kailangan
务必来,wù bì lái,Must come,Debe venir,Doit venir,Deve vir,Phải đến,ต้องมา,ត្រូវតែមក,Harus datang,Mesti datang,Dapat pumunta
请务必,qǐng wù bì,Please make sure,Por favor asegúrese,Veuillez vous assurer,Por favor certifique-se,Hãy chắc chắn,กรุณาให้แน่ใจ,សូមប្រាកដ,Tolong pastikan,Sila pastikan,Mangyaring siguraduhin
非得去,fēi děi qù,Must go,Debe ir,Doit y aller,Deve ir,Phải đi,ต้องไป,ត្រូវតែទៅ,Harus pergi,Mesti pergi,Dapat pumunta
非得要,fēi děi yào,Must have,Debe tener,Doit avoir,Deve ter,Phải có,ต้องมี,ត្រូវតែមាន,Harus punya,Mesti ada,Dapat magkaroon
亟需解决,jí xū jiě jué,Urgently needs solving,Necesita solución urgente,Besoin urgent de résolution,Precisa de solução urgente,Cần giải quyết gấp,ต้องการแก้ไขเร่งด่วน,ត្រូវការដោះស្រាយបន្ទាន់,Sangat perlu diselesaikan,Sangat perlu diselesaikan,Kagyat na kailangang lutasin
亟需帮助,jí xū bāng zhù,Urgently needs help,Necesita ayuda urgente,Besoin d'aide urgent,Precisa de ajuda urgente,Cần giúp đỡ gấp,ต้องการความช่วยเหลือเร่งด่วน,ត្រូវការជំនួយបន្ទាន់,Sangat butuh bantuan,Sangat perlukan bantuan,Kagyat na kailangan ng tulong
很迫切,hěn pò qiè,Very urgent,Muy urgente,Très urgent,Muito urgente,Rất khẩn cấp,ด่วนมาก,បន្ទាន់ខ្លាំង,Sangat mendesak,Sangat mendesak,Lubhang kagyat
迫切需要,pò qiè xū yào,Urgently need,Necesita con urgencia,Besoin urgent,Precisa com urgência,Cần gấp,ต้องการอย่างเร่งด่วน,ត្រូវការបន្ទាន់,Sangat dibutuhkan,Sangat diperlukan,Kagyat na kailangan
很紧迫,hěn jǐn pò,Very pressing,Muy apremiante,Très pressant,Muito premente,Rất cấp bách,เร่งด่วนมาก,សំខាន់ណាស់,Sangat mendesak,Sangat mendesak,Lubhang kagyat
时间紧迫,shí jiān jǐn pò,Time is pressing,El tiempo apremia,Le temps presse,O tempo está pressionando,Thời gian gấp rút,เวลาเร่งด่วน,ពេលវេលាជិតដល់,Waktu mendesak,Masa mendesak,Ang oras ay nagmamadali
