chinese,pinyin,english,spanish,french,portuguese,vietnamese,thai,khmer,indonesian,malay,filipino
状况如何,zhuàng kuàng rú hé,How is the situation,¿Cómo está la situación?,Quelle est la situation,Como está a situação,Tình hình thế nào,สถานการณ์เป็นอย่างไรบ้าง,ស្ថានភាពគឺល្អ,Bagaimana situasinya,Bagaimana keadaan,Paano ang sitwasyon
目前状况,mù qián zhuàng kuàng,Current situation,Situación actual,Situation actuelle,Situação atual,Tình hình hiện tại,สถานการณ์ปัจจุบัน,សូមក្រឡេកមើលស្ថានភាព,Situasi saat ini,Situasi Semasa,Kasalukuyang sitwasyon
形势好,xíng shì hǎo,The situation is good,La situación es buena,La situation est bonne,A situação é boa,Tình hình ổn,สถานการณ์กำลังดี,ធម្មតាណាស់,Situasinya bagus,Keadaan ini baik,Ang sitwasyon ay mabuti
看形势,kàn xíng shì,Look at the situation,Mira la situación,Regardez la situation,Veja a situação,Nhìn vào tình hình,ดูสถานการณ์,អ្វីគ្រប់យ៉ាងគឺធម្មតា,Lihatlah situasinya,Lihat keadaan,Tumingin sa sitwasyon
很正常,hěn zhèng cháng,Very normal,Muy normal,Très normal,Muito normal,Rất bình thường,ปกติมาก,មិនធម្មតាខ្លាំងណាស់,Biasa sekali,Sangat normal,Napaka normal
一切正常,yī qiè zhèng cháng,Everything is normal,Todo es normal,Tout est normal,Está tudo normal,Mọi thứ đều bình thường,ทุกอย่างเป็นปกติ,មិនធម្មតាបន្តិច,Semuanya normal,Semuanya normal,Ang lahat ay normal
很异常,hěn yì cháng,Very abnormal,Muy anormal,Très anormal,Muito anormal,Rất bất thường,ผิดปกติมาก,សាមញ្ញណាស់,Sangat tidak normal,Sangat tidak normal,Napaka abnormal
有点异常,yǒu diǎn yì cháng,A little abnormal,Un poco anormal,Un peu anormal,Um pouco anormal,Có chút bất thường,ผิดปกตินิดหน่อย,សាមញ្ញពេក,Sedikit tidak normal,Sedikit tidak normal,Isang maliit na abnormal
很简单,hěn jiǎn dān,Very simple,Muy sencillo,Très simple,Muito simples,Rất đơn giản,ง่ายมาก,,Sangat sederhana,Sangat mudah,Napaka -simple
太简单,tài jiǎn dān,Too simple,Demasiado simple,Trop simple,Simples demais,Quá đơn giản,ง่ายเกินไป,កំពុងបន្ត,Terlalu sederhana,Terlalu mudah,Masyadong simple
进行中,jìn xíng zhōng,In progress,En curso,En cours,Em andamento,Đang tiến hành,อยู่ระหว่างดำเนินการ,បានកើតឡើង,Sedang berlangsung,Dalam kemajuan,Sa pag -unlad
正在进行,zhèng zài jìn xíng,Ongoing,En curso,En cours,Em andamento,Đang diễn ra,ต่อเนื่อง,ទើបតែកើតឡើង,Sedang berlangsung,Berterusan,Patuloy
发生了,fā shēng le,Happened,Sucedió,C'est arrivé,Aconteceu,Đã xảy ra,เกิดขึ้น,បានលេចចេញមក,Terjadi,Berlaku,Nangyari
刚发生,gāng fā shēng,Just happened,Acaba de suceder,Cela vient d'arriver,Acabou de acontecer,Vừa xảy ra,เพิ่งเกิดขึ้น,ទើបតែលេចចេញមក,Baru saja terjadi,Hanya berlaku,Nangyari lang
出现了,chū xiàn le,Appeared,Apareció,Apparu,Apareceu,Đã xuất hiện,ปรากฏ,មានបញ្ហាមួយ,Muncul,Muncul,Lumitaw
刚出现,gāng chū xiàn,Just appeared,Acaba de aparecer,Je viens de paraître,Acabou de aparecer,Vừa xuất hiện,เพิ่งปรากฏตัว,នៅតែមាន,Baru saja muncul,Baru muncul,Lumitaw lamang
存在问题,cún zài wèn tí,There is a problem,Hay un problema,Il y a un problème,Há um problema,Có vấn đề,มีปัญหา,,Ada masalah,Ada masalah,Mayroong isang problema
还存在,hái cún zài,Still exists,Todavía existe,Existe toujours,Ainda existe,Vẫn tồn tại,ยังคงมีอยู่,,Masih ada,Masih ada,Umiiral pa rin
有变化,yǒu biàn huà,There is a change,Hay un cambio,Il y a un changement,Há uma mudança,Có sự thay đổi,มีการเปลี่ยนแปลง,,Ada perubahan,Terdapat perubahan,May pagbabago
发生变化,fā shēng biàn huà,There is a change,Hay un cambio,Il y a un changement,Há uma mudança,Có sự thay đổi,มีการเปลี่ยนแปลง,ការផ្លាស់ប្តូរ,Ada perubahan,Terdapat perubahan,May pagbabago
改变了,gǎi biàn le,Changed,Cambiado,Modifié,Alterado,Đã thay đổi,เปลี่ยนแล้ว,បានផ្លាស់ប្តូរ,Berubah,Berubah,Nagbago
要改变,yào gǎi biàn,To change,Para cambiar,Pour changer,Para mudar,Để thay đổi,หากต้องการเปลี่ยน,មានការផ្លាស់ប្តូរ,Untuk mengubah,Untuk menukar,Upang baguhin
转变了,zhuǎn biàn le,Changed,Cambiado,Modifié,Alterado,Đã thay đổi,เปลี่ยนแล้ว,,Berubah,Berubah,Nagbago
有转变,yǒu zhuǎn biàn,There is a change,Hay un cambio,Il y a un changement,Há uma mudança,Có sự thay đổi,มีการเปลี่ยนแปลง,ស្ថានភាពកាន់តែអាក្រក់ទៅ ៗ,Ada perubahan,Terdapat perubahan,May pagbabago
恶化了,è huà le,Worsened,Empeorado,Aggravé,Piorou,Xấu đi,แย่ลง,មានបញ្ហា,Memburuk,Worsened,Pinalala
情况恶化,qíng kuàng è huà,The situation has worsened,La situación ha empeorado,La situation s'est aggravée,A situação piorou,Tình hình đã trở nên tồi tệ hơn,สถานการณ์เลวร้ายลง,បញ្ហាធំ,Situasinya semakin buruk,Keadaan semakin buruk,Lumala ang sitwasyon
