chinese,pinyin,english,spanish,french,portuguese,vietnamese,thai,khmer,indonesian,malay,filipino
不如他,bù rú tā,Not as good as him,No tan bueno como él,Pas aussi bon que lui,Não tão bom quanto ele,Không bằng anh ấy,ไม่ดีเท่าเขา,មិនល្អដូចទ្រង់ទេ,Tidak sebaik dia,Tidak sebaik dia,Hindi kasing ganda ng kanya
一样的,yī yàng de,Same,Lo mismo,Idem,Igual,Tương tự,เหมือนกัน,ដូចគ្នា,Sama,Sama,Parehas
都一样,dōu yī yàng,All the same,De todos modos,Tout de même,Mesmo assim,Tất cả đều giống nhau,เหมือนกัน,ទាំងអស់ដូចគ្នា,Semua sama,Semua yang sama,Lahat ng pareho
相同的,xiāng tóng de,Same,Lo mismo,Idem,Igual,Tương tự,เหมือนกัน,ដូចគ្នា,Sama,Sama,Parehas
完全相同,wán quán xiāng tóng,Exactly the same,Exactamente lo mismo,Exactement pareil,Exatamente igual,Hoàn toàn giống nhau,เหมือนกัน,ពិតជាដូចគ្នា,Sama persis,Betul -betul sama,Eksaktong pareho
不同的,bù tóng de,Different,Diferente,Différent,Diferente,Khác nhau,แตกต่าง,ខុសគ្នា,Berbeda,Berbeza,Iba't ibang
截然不同,jié rán bù tóng,Very different,Muy diferente,Très différent,Muito diferente,Rất khác biệt,แตกต่างมาก,ខុសគ្នាខ្លាំងណាស់,Sangat berbeda,Sangat berbeza,Ibang -iba
差不多吧,chà bu duō ba,About the same,Más o menos lo mismo,À peu près pareil,Quase a mesma coisa,Tương tự,ประมาณเดียวกัน,ប្រហែលដូចគ្នា,Hampir sama,Mengenai yang sama,Tungkol sa pareho
都差不多,dōu chà bu duō,Almost the same,Casi lo mismo,Presque pareil,Quase a mesma coisa,Gần giống nhau,เกือบเหมือนกัน,ស្ទើរតែដូចគ្នា,Hampir sama,Hampir sama,Halos pareho
很相似,hěn xiāng sì,Very similar,Muy parecido,Très similaire,Muito parecido,Rất giống,คล้ายกันมาก,ស្រដៀងគ្នាណាស់,Mirip sekali,Sangat serupa,Napaka katulad
非常相似,fēi cháng xiāng sì,Very similar,Muy parecido,Très similaire,Muito parecido,Rất giống,คล้ายกันมาก,ស្រដៀងគ្នាណាស់,Mirip sekali,Sangat serupa,Napaka katulad
有区别,yǒu qū bié,There is a difference,Hay una diferencia,Il y a une différence,Há uma diferença,Có sự khác biệt,มีความแตกต่าง,មានភាពខុសគ្នា,Ada perbedaan,Terdapat perbezaan,May pagkakaiba
没区别,méi qū bié,No difference,No hay diferencia,Aucune différence,Sem diferença,Không có sự khác biệt,ไม่ต่างกัน,មិនមានភាពខុសគ្នា,Tidak ada bedanya,Tiada perbezaan,Walang pagkakaiba
优于他,yōu yú tā,Better than him,Mejor que él,Mieux que lui,Melhor que ele,Tốt hơn anh ấy,ดีกว่าเขา,ប្រសើរជាងគាត់,Lebih baik dari dia,Lebih baik daripada dia,Mas mahusay kaysa sa kanya
远优于,yuǎn yōu yú,Far better than,Mucho mejor que,Bien mieux que,Muito melhor que,Tốt hơn nhiều so với,ดีกว่า,ប្រសើរជាង,Jauh lebih baik dari,Jauh lebih baik daripada,Mas mahusay kaysa sa
胜过他,shèng guò tā,Better than him,Mejor que él,Mieux que lui,Melhor que ele,Tốt hơn anh ấy,ดีกว่าเขา,ប្រសើរជាងគាត់,Lebih baik dari dia,Lebih baik daripada dia,Mas mahusay kaysa sa kanya
略胜过,lüè shèng guò,Slightly better than,Ligeramente mejor que,Légèrement mieux que,Um pouco melhor que,Tốt hơn một chút so với,ดีกว่า,ប្រសើរជាង,Sedikit lebih baik dari,Sedikit lebih baik daripada,Bahagyang mas mahusay kaysa sa
比起你,bǐ qǐ nǐ,Compared to you,Comparado contigo,Par rapport à toi,Comparado a você,So với bạn,เล็กน้อย เทียบกับคุณ,បើប្រៀបធៀបនឹងអ្នក,Dibandingkan denganmu,Berbanding dengan anda,Kumpara sa iyo
比起他,bǐ qǐ tā,Compared to him,Comparado con él,Comparé à lui,Comparado a ele,So với anh ấy,เทียบกับเขา,បើប្រៀបធៀបនឹងគាត់,Dibandingkan dengan dia,Berbanding dengan dia,Kumpara sa kanya
相比之下,xiāng bǐ zhī xià,Comparative,Comparativo,Comparatif,Comparativo,So sánh,เปรียบเทียบ,ការប្រៀបធៀប បើប្រៀបធៀបជាមួយ,Perbandingan,Perbandingan,Paghahambing
与之相比,yǔ zhī xiāng bǐ,Compared with,Comparado con,Par rapport à,Comparado com,So với,เปรียบเทียบกับ,ប្រៀបធៀប,Dibandingkan dengan,Berbanding dengan,Kumpara sa
对比一下,duì bǐ yī xià,Compare,Comparar,Comparez,Comparar,So sánh,เปรียบเทียบ,ប្រៀបធៀប,Bandingkan,Bandingkan,Paghambingin
进行对比,jìn xíng duì bǐ,Make comparison,Hacer comparación,Faire une comparaison,Faça comparação,Hãy so sánh,ทำการเปรียบเทียบ,ល្អជាង,Buatlah perbandingan,Buat perbandingan,Gumawa ng paghahambing
较好,jiào hǎo,Better,Mejor,Mieux,Melhor,Tốt hơn,ดีกว่า,ធំ,Lebih baik,Lebih baik,Mas mahusay
较大,jiào dà,Larger,Más grande,Plus grand,Maior,Lớn hơn,ใหญ่ขึ้น,ល្អជាងនេះបន្តិច,Lebih besar,Lebih besar,Mas malaki
略胜一筹,lüè shèng yī chóu,Slightly better,Ligeramente mejor,Un peu mieux,Um pouco melhor,Tốt hơn một chút,ดีขึ้นนิดหน่อย,ល្អជាងបន្តិច,Sedikit lebih baik,Sedikit lebih baik,Bahagyang mas mahusay
稍微略胜,shāo wēi lüè shèng,Slightly better,Ligeramente mejor,Un peu mieux,Um pouco melhor,Tốt hơn một chút,ดีขึ้นเล็กน้อย,ប្រៀបធៀបតម្លៃ,Sedikit lebih baik,Sedikit lebih baik,Bahagyang mas mahusay
