Pack_Number,Pack_Title,Difficulty_Act,Total_Issues,Pinyin_Errors,Bracket_Errors,Empty_Cells
101,Law & Legal,Act IV: Expanding Expression,0,,,
102,Remembering (recordar),Act IV: Expanding Expression,0,,,
103,Forgetting (olvidar),Act IV: Expanding Expression,0,,,
104,Science Terms,Act IV: Expanding Expression,0,,,
105,Learning (aprender),Act IV: Expanding Expression,0,,,
106,Teaching (enseñar),Act IV: Expanding Expression,0,,,
107,Environment & Nature,Act IV: Expanding Expression,0,,,
108,Changing (cambiar),Act IV: Expanding Expression,0,,,
109,Improving (mejorar),Act IV: Expanding Expression,0,,,
110,Media & News,Act IV: Expanding Expression,0,,,
111,Trying (intentar),Act IV: Expanding Expression,0,,,
112,Getting & Achieving (conseguir),Act IV: Expanding Expression,0,,,
113,Geography,Act IV: Expanding Expression,0,,,
114,Seeming & Appearing (parecer),Act IV: Expanding Expression,0,,,
115,Staying & Meeting (quedar),Act IV: Expanding Expression,0,,,
116,Art & Culture,Act IV: Expanding Expression,0,,,
117,Arriving (llegar),Act IV: Expanding Expression,0,,,
118,Happening (pasar),Act IV: Expanding Expression,0,,,
119,Religion & Faith,Act IV: Expanding Expression,0,,,
120,Letting & Leaving (dejar),Act IV: Expanding Expression,0,,,
121,Using (usar),Act IV: Expanding Expression,0,,,
122,Tools & Building,Act IV: Expanding Expression,0,,,
123,Telling & Counting (contar),Act IV: Expanding Expression,0,,,
124,Creating (crear),Act IV: Expanding Expression,0,,,
125,Personality Types,Act IV: Expanding Expression,0,,,
126,Going Up (subir),Act IV: Expanding Expression,0,,,
127,Going Down (bajar),Act IV: Expanding Expression,0,,,
128,Emergency & Safety,Act IV: Expanding Expression,0,,,
129,Falling (caer),Act IV: Expanding Expression,0,,,
130,Lifting & Waking (levantar),Act IV: Expanding Expression,0,,,
131,Materials,Act IV: Expanding Expression,0,,,
132,Touching & Playing Music (tocar),Act IV: Expanding Expression,0,,,
133,Breaking (romper),Act IV: Expanding Expression,0,,,
134,Farming & Agriculture,Act IV: Expanding Expression,0,,,
135,Sharing (compartir),Act IV: Expanding Expression,0,,,
136,Participating (participar),Act IV: Expanding Expression,0,,,
137,Math Operations,Act IV: Expanding Expression,0,,,
138,Preparing (preparar),Act IV: Expanding Expression,0,,,
139,Cooking (cocinar),Act IV: Expanding Expression,0,,,
140,History Terms,Act IV: Expanding Expression,0,,,
141,Accepting (aceptar),Act V: Intermediate Mastery,0,,,
142,Rejecting (rechazar),Act V: Intermediate Mastery,0,,,
143,Space & Universe,Act V: Intermediate Mastery,0,,,
144,Offering (ofrecer),Act V: Intermediate Mastery,0,,,
145,Promising (prometer),Act V: Intermediate Mastery,0,,,
146,Chemistry Terms,Act V: Intermediate Mastery,0,,,
147,Moving (mover),Act V: Intermediate Mastery,0,,,
148,Stopping (detener),Act V: Intermediate Mastery,0,,,
149,Military Terms,Act V: Intermediate Mastery,0,,,
150,Continuing (continuar),Act V: Intermediate Mastery,0,,,
151,Finishing (terminar),Act V: Intermediate Mastery,0,,,
152,Literature & Books,Act V: Intermediate Mastery,0,,,
153,Developing (desarrollar),Act V: Intermediate Mastery,0,,,
154,Producing (producir),Act V: Intermediate Mastery,0,,,
155,Construction,Act V: Intermediate Mastery,0,,,
156,Directing (dirigir),Act V: Intermediate Mastery,0,,,
157,Organizing (organizar),Act V: Intermediate Mastery,0,,,
158,Theater & Acting,Act V: Intermediate Mastery,0,,,
159,Traveling (viajar),Act V: Intermediate Mastery,0,,,
160,Resting (descansar),Act V: Intermediate Mastery,0,,,
161,Philosophy Terms,Act V: Intermediate Mastery,0,,,
162,Practicing (practicar),Act V: Intermediate Mastery,0,,,
163,Winning & Earning (ganar),Act V: Intermediate Mastery,0,,,
164,Dance & Dancing,Act V: Intermediate Mastery,0,,,
165,Losing (perder),Act V: Intermediate Mastery,0,,,
166,Forming (formar),Act V: Intermediate Mastery,0,,,
167,Fashion & Style,Act V: Intermediate Mastery,0,,,
168,Reaching (alcanzar),Act V: Intermediate Mastery,0,,,
169,Maintaining (mantener),Act V: Intermediate Mastery,0,,,
170,Psychology Terms,Act V: Intermediate Mastery,0,,,
171,Solving (resolver),Act V: Intermediate Mastery,0,,,
172,Avoiding (evitar),Act V: Intermediate Mastery,0,,,
173,Journalism Terms,Act V: Intermediate Mastery,0,,,
174,Supposing (suponer),Act V: Intermediate Mastery,0,,,
175,Meaning (significar),Act V: Intermediate Mastery,0,,,
176,Photography Terms,Act V: Intermediate Mastery,0,,,
177,Choosing (elegir),Act V: Intermediate Mastery,0,,,
178,Deciding (decidir),Act V: Intermediate Mastery,0,,,
179,Marketing & Advertising,Act V: Intermediate Mastery,0,,,
180,Appearing (aparecer),Act V: Intermediate Mastery,0,,,
181,Disappearing (desaparecer),Act VI: Advanced Constructs,0,,,
182,Telecommunications,Act VI: Advanced Constructs,0,,,
183,Birthdays & Fulfilling (cumplir),Act VI: Advanced Constructs,0,,,
184,Missing & Lacking (faltar),Act VI: Advanced Constructs,0,,,
185,Tourism Terms,Act VI: Advanced Constructs,0,,,
186,Noticing (notar),Act VI: Advanced Constructs,0,,,
187,Allowing (permitir),Act VI: Advanced Constructs,0,,,
188,Manufacturing Terms,Act VI: Advanced Constructs,0,,,
189,Achieving (lograr),Act VI: Advanced Constructs,0,,,
190,Performing (realizar),Act VI: Advanced Constructs,0,,,
191,Economics Terms,Act VI: Advanced Constructs,0,,,
192,Existing (existir),Act VI: Advanced Constructs,0,,,
193,Depending (depender),Act VI: Advanced Constructs,0,,,
194,Retail & Sales,Act VI: Advanced Constructs,0,,,
195,Belonging (pertenecer),Act VI: Advanced Constructs,0,,,
196,Deserving (merecer),Act VI: Advanced Constructs,0,,,
197,Insurance Terms,Act VI: Advanced Constructs,0,,,
198,Suffering (sufrir),Act VI: Advanced Constructs,0,,,
199,Enjoying (disfrutar),Act VI: Advanced Constructs,0,,,
200,Real Estate Terms,Act VI: Advanced Constructs,0,,,
201,Occurring (ocurrir),Act VI: Advanced Constructs,0,,,
202,Happening (suceder),Act VI: Advanced Constructs,0,,,
203,Aviation Terms,Act VI: Advanced Constructs,0,,,
204,Protecting (proteger),Act VI: Advanced Constructs,0,,,
205,Defending (defender),Act VI: Advanced Constructs,0,,,
206,Logistics & Shipping,Act VI: Advanced Constructs,0,,,
207,Reducing (reducir),Act VI: Advanced Constructs,0,,,
208,Increasing (aumentar),Act VI: Advanced Constructs,0,,,
209,Pharmaceutical Terms,Act VI: Advanced Constructs,0,,,
210,Demonstrating (demostrar),Act VI: Advanced Constructs,0,,,
211,Checking (comprobar),Act VI: Advanced Constructs,0,,,
212,Energy & Power,Act VI: Advanced Constructs,0,,,
213,Thanking (agradecer),Act VI: Advanced Constructs,0,,,
214,Congratulating (felicitar),Act VI: Advanced Constructs,0,,,
215,Automotive Terms,Act VI: Advanced Constructs,0,,,
216,Suggesting (sugerir),Act VI: Advanced Constructs,0,,,
217,Recommending (recomendar),Act VI: Advanced Constructs,0,,,
218,Subjunctive Triggers,Act VI: Advanced Constructs,0,,,
219,Convincing (convencer),Act VI: Advanced Constructs,0,,,
220,Trusting (confiar),Act VI: Advanced Constructs,0,,,
221,Past Subjunctive Forms,Act VII: Mastery & Fluency,0,,,
222,Dreaming (soñar),Act VII: Mastery & Fluency,0,,,
223,Agreeing (acordar),Act VII: Mastery & Fluency,0,,,
224,Robotics & AI Terms,Act VII: Mastery & Fluency,0,,,
225,Warming (calentar),Act VII: Mastery & Fluency,0,,,
226,Cooling (enfriar),Act VII: Mastery & Fluency,0,,,
227,Alternative Medicine,Act VII: Mastery & Fluency,0,,,
228,Hiding (esconder),Act VII: Mastery & Fluency,0,,,
229,Revealing & Exposing (revelar),Act VII: Mastery & Fluency,0,,,
230,Virtual Reality Terms,Act VII: Mastery & Fluency,0,,,
231,Measuring (medir),Act VII: Mastery & Fluency,0,,,
232,Weighing (pesar),Act VII: Mastery & Fluency,0,,,
233,Cryptocurrency Terms,Act VII: Mastery & Fluency,0,,,
234,Establishing & Founding (fundar),Act VII: Mastery & Fluency,0,,,
235,Concluding & Wrapping Up (concluir),Act VII: Mastery & Fluency,0,,,
236,Sustainable Living,Act VII: Mastery & Fluency,0,,,
237,Pushing (empujar),Act VII: Mastery & Fluency,0,,,
238,Pulling (tirar),Act VII: Mastery & Fluency,0,,,
239,Combining (combinar),Act VII: Mastery & Fluency,0,,,
240,Separating (separar),Act VII: Mastery & Fluency,0,,,
241,Dying (morir),Act VII: Mastery & Fluency,0,,,
242,Irregular Past Forms,Act VII: Mastery & Fluency,0,,,
243,Growing (crecer),Act VII: Mastery & Fluency,0,,,
244,Aging (envejecer),Act VII: Mastery & Fluency,0,,,
245,Command Forms,Act VII: Mastery & Fluency,0,,,
246,Reflexive Pronouns,Act VII: Mastery & Fluency,0,,,
247,Gerund Forms,Act VII: Mastery & Fluency,0,,,
248,Perfect Tenses,Act VII: Mastery & Fluency,0,,,
249,Future Forms,Act VII: Mastery & Fluency,0,,,
250,Common Idioms,Act VII: Mastery & Fluency,0,,,
