Pack_Number,Pack_Title,Difficulty_Act,Score,Issues
117,Biology Basics,Act IV: Expanding Horizons,10.0,No major issues detected in automated review
118,Basic Chemistry & Physics,Act IV: Expanding Horizons,10.0,No major issues detected in automated review
119,Health & Wellness,Act IV: Expanding Horizons,10.0,No major issues detected in automated review
120,Mental Health Basics,Act IV: Expanding Horizons,10.0,No major issues detected in automated review
121,Technology Advanced,Act IV: Expanding Horizons,10.0,No major issues detected in automated review
122,Academic Writing,Act IV: Expanding Horizons,10.0,No major issues detected in automated review
123,Philosophy & Ethics,Act IV: Expanding Horizons,10.0,No major issues detected in automated review
124,Abstract Concepts,Act IV: Expanding Horizons,10.0,No major issues detected in automated review
125,Cause & Effect,Act IV: Expanding Horizons,10.0,No major issues detected in automated review
126,Certainty & Probability,Act IV: Expanding Horizons,10.0,No major issues detected in automated review
127,Social Issues,Act IV: Expanding Horizons,10.0,No major issues detected in automated review
128,International Relations,Act IV: Expanding Horizons,10.0,No major issues detected in automated review
129,Literature,Act IV: Expanding Horizons,10.0,No major issues detected in automated review
130,Art & Culture,Act IV: Expanding Horizons,10.0,No major issues detected in automated review
131,Formal Vocabulary 1,Act V: Advanced Mastery,10.0,No major issues detected in automated review
132,Formal Vocabulary 2,Act V: Advanced Mastery,9.7,"Row 30 ""modify behavior"": Pinyin mismatch (4 chars vs 5 syllables)"
133,Formal Vocabulary 3,Act V: Advanced Mastery,10.0,No major issues detected in automated review
134,Formal Vocabulary 4,Act V: Advanced Mastery,10.0,No major issues detected in automated review
135,Academic Nouns,Act V: Advanced Mastery,10.0,No major issues detected in automated review
136,Academic Adjectives,Act V: Advanced Mastery,10.0,No major issues detected in automated review
137,Academic Adjectives 2,Act V: Advanced Mastery,10.0,No major issues detected in automated review
138,Everyday Legal,Act V: Advanced Mastery,10.0,No major issues detected in automated review
139,Everyday Medical,Act V: Advanced Mastery,9.7,"Row 44 ""chest x-ray"": Pinyin mismatch (5 chars vs 6 syllables)"
140,Everyday Finance,Act V: Advanced Mastery,10.0,No major issues detected in automated review
141,Research & Statistics,Act V: Advanced Mastery,10.0,No major issues detected in automated review
142,Psychology Basics,Act V: Advanced Mastery,10.0,No major issues detected in automated review
143,Sociology Basics,Act V: Advanced Mastery,10.0,No major issues detected in automated review
144,Critical Thinking,Act V: Advanced Mastery,10.0,No major issues detected in automated review
145,Debate & Argument,Act V: Advanced Mastery,10.0,No major issues detected in automated review
146,Negotiation,Act V: Advanced Mastery,10.0,No major issues detected in automated review
147,Project Management,Act V: Advanced Mastery,10.0,No major issues detected in automated review
148,Business Advanced,Act V: Advanced Mastery,10.0,No major issues detected in automated review
149,Environmental Science,Act V: Advanced Mastery,10.0,No major issues detected in automated review
150,Literary Devices,Act V: Advanced Mastery,10.0,No major issues detected in automated review
151,Advanced Idioms,Act V: Advanced Mastery,10.0,No major issues detected in automated review
152,Business Idioms,Act V: Advanced Mastery,10.0,No major issues detected in automated review
153,Formal Connectors,Act V: Advanced Mastery,10.0,No major issues detected in automated review
154,Advanced Verbs,Act V: Advanced Mastery,10.0,No major issues detected in automated review
155,Nuanced Adjectives,Act V: Advanced Mastery,10.0,No major issues detected in automated review
156,Question Patterns,Act I: Foundation,10.0,No major issues detected in automated review
157,Response Patterns,Act I: Foundation,10.0,No major issues detected in automated review
158,Negative Patterns,Act I: Foundation,10.0,No major issues detected in automated review
159,Agreement & Disagreement,Act I: Foundation,10.0,No major issues detected in automated review
160,Apology & Excuse Patterns,Act II: Building Blocks,10.0,No major issues detected in automated review
