Pack_Number,Pack_Title,Difficulty_Act,Total_Issues,Pinyin_Errors,Bracket_Errors,Empty_Cells
64,Entertainment,Act II: Building Blocks,0,,,
65,More Emotions,Act II: Building Blocks,0,,,
66,Personality,Act II: Building Blocks,0,,,
67,Physical Appearance,Act II: Building Blocks,0,,,
68,Shopping,Act II: Building Blocks,0,,,
69,Money & Banking,Act II: Building Blocks,0,,,
70,Health,Act II: Building Blocks,0,,,
71,Technology,Act II: Building Blocks,0,,,
72,Verbs of Motion,Act II: Building Blocks,0,,,
73,Verbs of Change,Act II: Building Blocks,0,,,
74,Communication Verbs,Act II: Building Blocks,0,,,
75,Mental Verbs,Act II: Building Blocks,0,,,
76,Adverbs of Manner,Act II: Building Blocks,0,,,
77,Adverbs of Degree,Act II: Building Blocks,0,,,
78,Conjunctions,Act II: Building Blocks,0,,,
79,Connectors,Act II: Building Blocks,0,,,
80,Phrasal Verbs 1,Act II: Building Blocks,0,,,
81,Phrasal Verbs 2,Act II: Building Blocks,0,,,
82,Travel,Act III: Everyday Life,0,,,
83,Airport & Flying,Act III: Everyday Life,0,,,
84,Hotel,Act III: Everyday Life,0,,,
85,Work & Office,Act III: Everyday Life,0,,,
86,Workplace Actions,Act III: Everyday Life,0,,,
87,Business Communication,Act III: Everyday Life,0,,,
88,Internet & Social Media,Act III: Everyday Life,0,,,
89,Relationships,Act III: Everyday Life,0,,,
90,Social Interactions,Act III: Everyday Life,0,,,
91,Life Events,Act III: Everyday Life,0,,,
92,Housing,Act III: Everyday Life,0,,,
93,News & Media,Act III: Everyday Life,0,,,
94,Environment,Act III: Everyday Life,0,,,
95,Cooking Methods,Act III: Everyday Life,0,,,
96,Food Preparation,Act III: Everyday Life,0,,,
97,Restaurant,Act III: Everyday Life,0,,,
98,Movies & TV,Act III: Everyday Life,0,,,
99,Books & Reading,Act III: Everyday Life,0,,,
100,Music & Art,Act III: Everyday Life,0,,,
101,Basic Law & Rules,Act III: Everyday Life,0,,,
102,Government & Citizenship,Act III: Everyday Life,0,,,
103,Opinions & Arguments,Act III: Everyday Life,0,,,
104,Problems & Solutions,Act III: Everyday Life,0,,,
105,Describing Trends,Act III: Everyday Life,0,,,
106,Common Idioms 1,Act III: Everyday Life,0,,,
107,Common Idioms 2,Act III: Everyday Life,0,,,
108,Phrasal Verbs 3,Act III: Everyday Life,0,,,
109,Phrasal Verbs 4,Act III: Everyday Life,0,,,
110,Collocations - Make & Do,Act III: Everyday Life,0,,,
111,Collocations - Have & Take,Act III: Everyday Life,0,,,
112,Collocations - Other,Act III: Everyday Life,0,,,
113,Business Basics,Act IV: Expanding Horizons,0,,,
114,Finance Basics,Act IV: Expanding Horizons,0,,,
115,Marketing & Sales,Act IV: Expanding Horizons,0,,,
116,Science Basics,Act IV: Expanding Horizons,0,,,
117,Biology Basics,Act IV: Expanding Horizons,0,,,
118,Basic Chemistry & Physics,Act IV: Expanding Horizons,0,,,
119,Health & Wellness,Act IV: Expanding Horizons,0,,,
120,Mental Health Basics,Act IV: Expanding Horizons,0,,,
121,Technology Advanced,Act IV: Expanding Horizons,0,,,
122,Academic Writing,Act IV: Expanding Horizons,0,,,
123,Philosophy & Ethics,Act IV: Expanding Horizons,0,,,
124,Abstract Concepts,Act IV: Expanding Horizons,0,,,
125,Cause & Effect,Act IV: Expanding Horizons,0,,,
126,Certainty & Probability,Act IV: Expanding Horizons,0,,,
127,Social Issues,Act IV: Expanding Horizons,0,,,
128,International Relations,Act IV: Expanding Horizons,0,,,
129,Literature,Act IV: Expanding Horizons,0,,,
130,Art & Culture,Act IV: Expanding Horizons,0,,,
131,Formal Vocabulary 1,Act V: Advanced Mastery,0,,,
132,Formal Vocabulary 2,Act V: Advanced Mastery,0,,,
133,Formal Vocabulary 3,Act V: Advanced Mastery,0,,,
134,Formal Vocabulary 4,Act V: Advanced Mastery,0,,,
135,Academic Nouns,Act V: Advanced Mastery,0,,,
136,Academic Adjectives,Act V: Advanced Mastery,0,,,
137,Academic Adjectives 2,Act V: Advanced Mastery,0,,,
138,Everyday Legal,Act V: Advanced Mastery,0,,,
139,Everyday Medical,Act V: Advanced Mastery,0,,,
140,Everyday Finance,Act V: Advanced Mastery,0,,,
141,Research & Statistics,Act V: Advanced Mastery,0,,,
142,Psychology Basics,Act V: Advanced Mastery,0,,,
143,Sociology Basics,Act V: Advanced Mastery,0,,,
144,Critical Thinking,Act V: Advanced Mastery,0,,,
145,Debate & Argument,Act V: Advanced Mastery,0,,,
146,Negotiation,Act V: Advanced Mastery,0,,,
147,Project Management,Act V: Advanced Mastery,0,,,
148,Business Advanced,Act V: Advanced Mastery,0,,,
149,Environmental Science,Act V: Advanced Mastery,0,,,
150,Literary Devices,Act V: Advanced Mastery,0,,,
151,Advanced Idioms,Act V: Advanced Mastery,0,,,
152,Business Idioms,Act V: Advanced Mastery,0,,,
153,Formal Connectors,Act V: Advanced Mastery,0,,,
154,Advanced Verbs,Act V: Advanced Mastery,0,,,
155,Nuanced Adjectives,Act V: Advanced Mastery,0,,,
156,Question Patterns,Act I: Foundation,0,,,
157,Response Patterns,Act I: Foundation,0,,,
158,Negative Patterns,Act I: Foundation,0,,,
159,Agreement & Disagreement,Act I: Foundation,0,,,
160,Apology & Excuse Patterns,Act II: Building Blocks,0,,,
